date,hk,ak,rows,sources
2021-01-14,arsenal,crystalpalace,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-16,fulham,chelsea,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-16,leeds,brighton,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-16,leicester,southampton,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-16,westham,burnley,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-16,wolves,westbrom,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-17,liverpool,manunited,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-17,mancity,crystalpalace,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-17,sheffieldunited,tottenham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-18,arsenal,newcastle,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-19,leicester,chelsea,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-19,westham,westbrom,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-20,fulham,manunited,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-20,mancity,astonvilla,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-21,liverpool,burnley,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-23,astonvilla,newcastle,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-26,crystalpalace,westham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-26,newcastle,leeds,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-26,southampton,arsenal,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-26,westbrom,mancity,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-27,brighton,fulham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-27,burnley,astonvilla,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-27,chelsea,wolves,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-27,everton,leicester,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-27,manunited,sheffieldunited,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-28,tottenham,liverpool,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-30,arsenal,manunited,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-30,crystalpalace,wolves,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-30,everton,newcastle,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-30,mancity,sheffieldunited,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-30,southampton,astonvilla,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2021-01-30,westbrom,fulham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
