target,model,calibration,fold,train_events,validation_events,test_events,accuracy,log_loss,brier,ece,mce,roc_auc,feature_set,model_feature_set,status,comparison_sample_events
cards_high,logistic,raw,3,,,500,0.626,0.8194380961580949,0.28295067509769456,0.2210129904591723,0.28049905060761465,0.5313423655840495,,BASELINE,OOS,8206.0
cards_high,logistic,raw,4,,,500,0.664,0.6963310201721576,0.24375585743206993,0.15166887213890176,0.41751407549431707,0.5368975903614458,,BASELINE,OOS,8206.0
cards_high,logistic,raw,5,,,500,0.706,0.6369893121731959,0.2167639208672225,0.10981866046514036,0.539203763573131,0.5696652598716541,,BASELINE,OOS,8206.0
cards_high,logistic,raw,6,,,500,0.586,0.8356378221151638,0.2985902432446559,0.23333500989737987,0.6881429688586407,0.49671068902408866,,BASELINE,OOS,8206.0
cards_high,logistic,raw,7,,,500,0.668,0.6824971297013194,0.23824690094715312,0.12080322090501325,0.1811969040648745,0.4791681696847269,,BASELINE,OOS,8206.0
cards_high,logistic,raw,8,,,500,0.734,0.5941947222454455,0.2002971158522552,0.053419517197873946,0.669388352935487,0.44601667390719707,,BASELINE,OOS,8206.0
cards_high,logistic,raw,9,,,500,0.796,0.5105802800240827,0.16452126517033383,0.03147959614065805,0.2496958238555284,0.5316040989260026,,BASELINE,OOS,8206.0
corners_high,logistic,raw,0,,,500,0.412,1.197418275786578,0.43198824869617447,0.43419809759282,0.4756597557573692,0.5209695528696915,,BASELINE,OOS,8206.0
corners_high,logistic,raw,1,,,500,0.72,0.5990662685084498,0.20402861903991146,0.08813799489652213,0.5267011846828425,0.5727495565874171,,BASELINE,OOS,8206.0
corners_high,logistic,raw,2,,,500,0.55,0.751122392755736,0.2731104622886221,0.15404265358796276,0.26368060797404985,0.534897616433047,,BASELINE,OOS,8206.0
corners_high,logistic,raw,3,,,500,0.538,0.7817579965956655,0.2861534356755267,0.18076185936026326,0.6464859789758084,0.5079525737420474,,BASELINE,OOS,8206.0
corners_high,logistic,raw,4,,,500,0.54,0.7179744786126295,0.2613041000140339,0.13257979324347846,0.652308419763975,0.5605202433396266,,BASELINE,OOS,8206.0
corners_high,logistic,raw,5,,,500,0.618,0.6664186959995013,0.2350972053214183,0.07183837504413638,0.9005716889206437,0.5811194068100665,,BASELINE,OOS,8206.0
corners_high,logistic,raw,6,,,500,0.382,0.8849936414540867,0.3369322439621602,0.3171322872741484,0.5683917323968948,0.5408936105322015,,BASELINE,OOS,8206.0
corners_high,logistic,raw,7,,,500,0.51,0.7544542068496487,0.2779444999518071,0.1621461533584595,0.45565341080142263,0.5089285714285714,,BASELINE,OOS,8206.0
corners_high,logistic,raw,8,,,500,0.544,0.7233782698167238,0.2634865277812849,0.11611694602330777,0.7926873214379,0.5051151515151515,,BASELINE,OOS,8206.0
corners_high,logistic,raw,9,,,500,0.636,0.6514072188983532,0.2296560963866082,0.048380982952111046,0.3780018813988666,0.5154407735412136,,BASELINE,OOS,8206.0
shots_high,logistic,raw,0,,,500,0.272,1.4496614081323675,0.5318739203048144,0.5762154764672183,0.7701843348390934,0.5050702973497091,,BASELINE,OOS,8206.0
