event_id,selection,entry_odds,reference_odds,closing_odds,result,profit_units,clv_proxy
d2eb6f6cd22ad4401b6a,away,12.0,11.72,11.0,home,-1.0,0.09090909090909083
75ae7ede66aede174ee6,away,3.1,3.01,3.4,away,2.1,-0.08823529411764697
766250cfb089470c1484,draw,3.4,3.31,3.2,home,-1.0,0.0625
0fc7b1bd8f9e43324b03,away,3.5,3.37,3.5,draw,-1.0,0.0
155cfb52af3b124af043,draw,3.7,3.52,3.75,home,-1.0,-0.013333333333333308
7cb2a73888c410b5530b,draw,3.5,3.43,3.4,home,-1.0,0.02941176470588247
76d21696ef52fe1b3cac,draw,3.25,3.11,3.0,away,-1.0,0.08333333333333326
c488f04b9b37fb0f9e64,away,3.75,3.62,3.5,home,-1.0,0.0714285714285714
7f4cd329dad9cdc64ed6,draw,3.25,3.16,3.2,draw,2.25,0.015625
70b05ccb81ff247bc7e2,draw,4.2,4.09,3.9,away,-1.0,0.0769230769230771
fc8464bbed1b2db9de4a,draw,3.9,3.56,3.6,away,-1.0,0.08333333333333326
6d0678e15bc3476813e0,draw,3.4,3.3,3.4,away,-1.0,0.0
127faeaa4e84baac253f,away,8.5,8.12,8.0,home,-1.0,0.0625
6159dcbdfccc60697fa6,draw,3.5,3.42,3.7,draw,2.5,-0.05405405405405406
18dfacff909026228813,draw,3.4,3.24,3.4,draw,2.4,0.0
a7b930ea1f51cac3417a,away,8.0,7.69,8.0,home,-1.0,0.0
564b4873cda109acff6f,away,6.25,5.89,4.5,away,5.25,0.38888888888888884
6a5dae3df8b2a35f3f53,draw,3.4,3.25,3.3,away,-1.0,0.030303030303030276
121bc2d2fd45ff95cc8b,draw,3.5,3.3,3.4,draw,2.5,0.02941176470588247
2688e0d05f889b50948b,draw,4.0,3.92,4.0,draw,3.0,0.0
1ef4b63a9034fc64d965,draw,3.7,3.61,3.7,home,-1.0,0.0
042e71a95ce16b9841fd,draw,3.5,3.22,3.3,draw,2.5,0.06060606060606055
f60345aeafb7beff066d,draw,3.4,3.29,3.3,away,-1.0,0.030303030303030276
637ffe8c00d4682e7938,draw,4.1,3.9,3.7,draw,3.0999999999999996,0.10810810810810789
345bc491804070766452,draw,3.3,3.23,3.25,draw,2.3,0.01538461538461533
f4195018217d63885e70,away,4.75,4.62,4.75,home,-1.0,0.0
0975cf215e25a4ee3c34,home,3.3,3.23,3.2,draw,-1.0,0.031249999999999778
7c47fefb4ff2803f18c0,away,4.33,4.23,4.2,draw,-1.0,0.030952380952380842
6be4f9a8290eed09281b,away,4.75,4.62,4.5,home,-1.0,0.05555555555555558
5806ae9217eeed74e0a1,draw,3.2,3.05,3.1,away,-1.0,0.032258064516129004
371a1d3ac5bfbb3c0926,draw,3.6,3.41,3.6,home,-1.0,0.0
6e937a85401f0f354bef,away,3.2,3.08,2.88,home,-1.0,0.11111111111111116
6a3185870b2b61fb3a75,draw,3.6,3.49,3.6,draw,2.6,0.0
f6eaf8fadc0dc355a1d6,away,4.75,4.52,4.5,home,-1.0,0.05555555555555558
10ad4a39b498a7dc3399,draw,4.0,3.74,4.2,draw,3.0,-0.04761904761904767
e73a4e316a5d4e6d3daa,draw,3.8,3.68,4.0,home,-1.0,-0.050000000000000044
3ac462bb1efeacd7f3e5,away,3.25,3.17,4.0,draw,-1.0,-0.1875
5b3e44fc5dca4b8af198,home,3.9,3.73,4.2,home,2.9,-0.07142857142857151
5e2e3525e7ae2a9cf418,away,4.0,3.9,4.1,home,-1.0,-0.024390243902438935
04ff25a62727200227f0,away,5.25,4.97,5.25,home,-1.0,0.0
cd085d7d4c51895085ce,home,3.7,3.57,3.0,away,-1.0,0.2333333333333334
45c0796dbab55cb76430,away,4.33,4.17,4.2,home,-1.0,0.030952380952380842
5f70ba1cf7c996d883e7,draw,3.4,3.32,3.4,home,-1.0,0.0
dad55e83b5eafa0fa678,draw,5.75,5.46,6.25,home,-1.0,-0.07999999999999996
6265621764c5cdab9665,away,5.0,4.9,4.1,draw,-1.0,0.21951219512195141
dad313a8f57c50ce9d21,away,3.5,3.4,3.3,home,-1.0,0.06060606060606055
6cfd53ff18a079207cb1,draw,3.2,3.11,3.1,away,-1.0,0.032258064516129004
0e1964de55499721c16c,away,4.33,4.1,4.1,home,-1.0,0.056097560975609806
03cbd55057ee10bc3bb4,draw,3.2,3.12,3.0,home,-1.0,0.06666666666666665
f2d7a8a64c539fd58467,home,6.25,6.04,6.5,away,-1.0,-0.038461538461538436
15578ea0ef051c7ee445,away,3.1,2.99,2.63,home,-1.0,0.17870722433460084
524c2476bb0784ca469c,away,4.2,3.93,3.8,draw,-1.0,0.10526315789473695
ddfb419bf4b365acf2e8,draw,3.5,3.38,3.6,away,-1.0,-0.02777777777777779
62acec9081bd573baeb8,draw,3.7,3.49,3.6,draw,2.7,0.0277777777777779
